City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
76,Harper,4.375,-7.7169,75.07,81,99,5.77,LR,overcast clouds,2022-07-31 02:33:04
77,Boyabat,41.4689,34.7667,63.77,81,0,2.73,TR,clear sky,2022-07-31 02:33:04
78,Laguna,38.421,-121.4238,93.45,52,0,10.36,US,clear sky,2022-07-31 02:28:13
79,Kodiak,57.79,-152.4072,62.11,72,100,10.36,US,overcast clouds,2022-07-31 02:24:16
80,Chipata,-13.6333,32.65,55.13,60,0,4.21,ZM,clear sky,2022-07-31 02:33:05
81,Skorodnoye,51.071,37.2276,59.07,74,9,6.15,RU,clear sky,2022-07-31 02:33:06
82,Nalut,30.3333,10.85,78.46,28,0,10.36,LY,clear sky,2022-07-31 02:33:06
83,Rosita,13.9268,-84.4032,74.1,99,100,2.84,NI,light rain,2022-07-31 02:33:07
84,Kodinar,20.7903,70.7031,82.62,74,93,13.09,IN,overcast clouds,2022-07-31 02:33:07
85,Saldanha,-33.0117,17.9442,42.85,77,10,9.26,ZA,clear sky,2022-07-31 02:20:29
86,Loubomo,-4.1997,12.6739,67.6,89,82,5.14,CG,broken clouds,2022-07-31 02:33:08
87,New Norfolk,-42.7826,147.0587,53.1,77,100,7.61,AU,light rain,2022-07-31 02:33:08
88,Ocos,14.5094,-92.1933,80.78,73,96,4.09,GT,overcast clouds,2022-07-31 02:33:09
89,Adeje,28.1227,-16.726,73.09,81,20,9.22,ES,few clouds,2022-07-31 02:33:09
90,Smithers,54.7804,-127.1743,80.92,54,75,3.44,CA,broken clouds,2022-07-31 02:33:10
91,Vaini,-21.2,-175.2,80.76,89,40,10.36,TO,scattered clouds,2022-07-31 02:34:10
92,Rabo De Peixe,37.8,-25.5833,69.31,83,40,5.75,PT,scattered clouds,2022-07-31 02:30:50
93,Kurchum,48.5722,83.6542,73.81,45,0,3.53,KZ,clear sky,2022-07-31 02:26:56
94,Santa Helena De Goias,-17.8136,-50.5969,69.62,45,3,2.89,BR,clear sky,2022-07-31 02:34:11
95,Kumano,34.3442,132.5894,81.52,66,53,6.2,JP,broken clouds,2022-07-31 02:34:11
96,Puerto Penasco,31.3167,-113.5333,85.91,76,1,7.7,MX,clear sky,2022-07-31 02:34:12
97,Tuatapere,-46.1333,167.6833,46.27,83,71,10.76,NZ,light rain,2022-07-31 02:34:12
98,Thompson,55.7435,-97.8558,62.76,51,75,4.61,CA,broken clouds,2022-07-31 02:30:57
