City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Talnakh,RU,2022-07-21 21:17:24,69.4865,88.3972,51.21,85,12,6.22
138,Zhezkazgan,KZ,2022-07-21 21:17:26,47.8043,67.7144,76.95,36,22,11.25
139,Chadiza,ZM,2022-07-21 21:17:26,-14.0678,32.4392,59.61,63,24,3.04
140,Araouane,ML,2022-07-21 21:17:27,18.9048,-3.5265,94.46,34,27,5.23
141,Impfondo,CG,2022-07-21 21:17:27,1.6381,18.0667,71.91,96,87,1.68
142,Bantry,IE,2022-07-21 21:17:28,51.6833,-9.45,55.78,91,100,3.4
143,Airai,TL,2022-07-21 21:17:28,-8.9266,125.4092,54.61,92,96,4.0
144,Wasilla,US,2022-07-21 21:14:09,61.5814,-149.4394,57.02,87,100,8.05
145,Lyubim,RU,2022-07-21 21:17:29,58.3625,40.6843,56.32,83,38,5.28
146,Caruray,PH,2022-07-21 21:17:30,10.3094,119.0128,79.9,87,89,4.76
147,Kirakira,SB,2022-07-21 21:17:30,-10.4544,161.9205,80.8,81,96,2.37
148,Teregova,RO,2022-07-21 21:17:31,45.15,22.2833,69.21,40,0,2.15
149,Port Lincoln,AU,2022-07-21 21:17:31,-34.7333,135.8667,54.7,68,100,21.79
150,Karratha,AU,2022-07-21 21:17:31,-20.7377,116.8463,68.59,85,0,7.81
151,Barrow,US,2022-07-21 21:17:32,71.2906,-156.7887,42.82,81,75,28.77
152,Jasdan,IN,2022-07-21 21:17:32,22.0333,71.2,78.13,84,95,10.56
153,Pacific Grove,US,2022-07-21 21:17:33,36.6177,-121.9166,81.81,80,40,10.0
154,Torbay,CA,2022-07-21 21:17:33,47.6666,-52.7314,75.97,62,75,16.11
155,Norman Wells,CA,2022-07-21 21:17:34,65.282,-126.8329,75.0,45,27,5.01
156,Lagoa,PT,2022-07-21 21:12:39,39.05,-27.9833,72.54,87,93,5.06
157,Salalah,OM,2022-07-21 21:17:34,17.0151,54.0924,77.09,94,100,5.75
158,Matay,EG,2022-07-21 21:17:35,28.419,30.7792,82.74,36,0,16.24
159,Ulladulla,AU,2022-07-21 21:17:35,-35.35,150.4667,54.27,80,56,7.43
160,Imeni Poliny Osipenko,RU,2022-07-21 21:17:36,52.4201,136.4853,54.52,93,100,10.38
161,Umarkot,PK,2022-07-21 21:17:36,25.3616,69.7362,84.61,76,92,16.02
162,Eenhana,NA,2022-07-21 21:17:37,-17.4667,16.3333,56.97,33,0,6.53
163,Saint-Philippe,RE,2022-07-21 21:17:37,-21.3585,55.7679,63.99,84,49,14.83
164,Bestobe,KZ,2022-07-21 21:17:38,52.4994,73.0975,63.79,68,0,11.12
165,Hambantota,LK,2022-07-21 21:17:38,6.1241,81.1185,79.16,81,100,20.2
166,Kuusamo,FI,2022-07-21 21:17:39,65.9667,29.1833,66.24,72,0,4.61
167,Ahipara,NZ,2022-07-21 21:17:39,-35.1667,173.1667,55.27,84,87,7.58
168,Bagdarin,RU,2022-07-21 21:17:40,54.4333,113.6,58.37,94,99,0.56
169,East London,ZA,2022-07-21 21:17:40,-33.0153,27.9116,59.32,75,4,6.06
170,Burnie,AU,2022-07-21 21:17:40,-41.0667,145.9167,48.94,83,79,12.8
171,Ancud,CL,2022-07-21 21:17:41,-41.8697,-73.8203,41.23,92,100,8.08
172,Moose Factory,CA,2022-07-21 21:17:41,51.2585,-80.6094,60.8,94,100,11.5
173,Awbari,LY,2022-07-21 21:17:42,26.5921,12.7805,85.15,20,2,9.8
174,Longyearbyen,SJ,2022-07-21 21:14:00,78.2186,15.6401,49.84,87,75,3.44
175,Morristown,US,2022-07-21 21:17:42,36.214,-83.2949,85.33,71,75,8.05
176,Butaritari,KI,2022-07-21 21:18:43,3.0707,172.7902,80.82,75,70,5.46
177,Daru,PG,2022-07-21 21:18:43,-9.0763,143.2092,75.7,92,69,6.8
178,Peniche,PT,2022-07-21 21:18:44,39.3558,-9.3811,69.3,86,52,18.88
179,Lubango,AO,2022-07-21 21:18:44,-14.9172,13.4925,56.82,35,0,3.74
